mij_mii,mij
.0000165,.0000153
.0002818,.0002615
.0000363,.0000337
.0005636,.000523
.0000115,.0000107
.0000704,.0000654
9.28e-06,8.61e-06
.0000343,.0000318
.0001057,.0000981
.0007397,.0006865
.0001532,.0001422
.0027122,.0025172
.0000145,.0000135
.0001761,.0001635
.0000227,.0000211
.0003875,.0003596
.0000373,.0000346
.0006692,.0006211
.0000113,.0000105
.0001761,.0001635
.0000809,.000075
.0001057,.0000981
.0000352,.0000327
.0010215,.000948
.0000352,.0000327
.0019021,.0017653
.0000176,.0000162
9.09e-06,8.36e-06
.0000364,.0000334
.0013368,.0012283
.0000661,.0000607
9.09e-06,8.36e-06
.000015,.0000138
.0000273,.0000251
1,.9188161
.0616924,.0566839
.0000399,.0000367
.0025917,.0023813
.0000145,.0000134
.0001039,.0000955
.0000212,.0000195
.000202,.0001856
.0000147,.0000135
.0000364,.0000334
.0000728,.0000668
.0004365,.0004011
.0000222,.0000204
9.09e-06,8.36e-06
.0000546,.0000501
.0001091,.0001003
.0000338,.0000311
.0000637,.0000585
.0000164,.0000151
.0001002,.0000921
.0004001,.0003676
.0011004,.001011
.0001182,.0001086
.0003819,.0003509
.0000111,.0000102
.0000273,.0000251
.0000122,.0000112
.000048,.0000441
.0000265,.0000244
.0000273,.0000251
.0004729,.0004345
.0019279,.0017714
.0001637,.0001504
.0009185,.0008439
.0000273,.0000251
.0002546,.000234
9.41e-06,8.65e-06
.0003547,.0003259
.0001728,.0001588
.001164,.0010695
.0000546,.0000501
.0003274,.0003008
.0000909,.0000836
.0002637,.0002423
9.09e-06,8.36e-06
.0001546,.000142
.005329,.0048963
.0067658,.0062165
.0000635,.0000583
.0000546,.0000501
.0000182,.0000167
.0004547,.0004178
.000029,.0000269
.0000481,.0000447
.0000361,.0000335
.0018751,.0017427
.0001089,.0001012
.0003366,.0003128
.0000247,.0000229
.0003366,.0003128
.0502428,.0466956
1,.9293998
.0000481,.0000447
.0052887,.0049153
.0000239,.0000222
.0000481,.0000447
.0000349,.0000324
.0003326,.0003091
.0000242,.0000225
.0003366,.0003128
.0001442,.0001341
.0004327,.0004022
.0000366,.000034
.0000962,.0000894
.0000481,.0000447
.0004808,.0004468
.0000557,.0000518
.0002885,.0002681
.0000481,.0000447
.0001442,.0001341
.0001236,.0001148
.0002404,.0002234
.0001923,.0001787
.0011058,.0010278
.0000481,.0000447
.0001442,.0001341
.00002,.0000186
.0000481,.0000447
.0000481,.0000447
.0003366,.0003128
.0000481,.0000447
.0013462,.0012512
.0000962,.0000894
.001202,.0011171
.0000962,.0000894
.0007212,.0006703
.0000155,.0000144
.0013462,.0012512
.0000481,.0000447
.0022116,.0020555
.0001326,.0001233
.0002885,.0002681
.0001442,.0001341
.0010577,.0009831
.0000223,.0000207
.0003366,.0003128
.0000962,.0000894
.002452,.0022789
.0001046,.0000972
.0001442,.0001341
.0000268,.0000249
.0007693,.000715
.0000152,.00001
.0000508,.0000334
3.50e-06,2.30e-06
.0004062,.0002673
.0000254,.0000167
.0000952,.0000627
.0000698,.0000459
.0003935,.000259
6.65e-06,4.37e-06
